,precision,recall,mean_reciprocal_rank,hit_rate,ndcg
0,0.37666664,0.107386254,0.37666664,0.37666664,0.07526667
1,0.31226662,0.43193278,0.5390445,0.8120001,0.103217505
2,0.26219997,0.7129162,0.5536591,0.91999984,0.15286018
3,0.17563337,0.9505096,0.5579565,0.9773331,0.2294536
4,0.12068886,0.98055536,0.5581095,0.9806664,0.28778055
5,0.090533346,0.9806664,0.5581095,0.9806664,0.3368148
6,0.07242665,0.9806664,0.5581095,0.9806664,0.37712458
