,precision,recall,mean_reciprocal_rank,hit_rate,ndcg
0,0.14166667,0.03472822,0.14166667,0.14166667,0.051402356
1,0.13299996,0.16628389,0.26263198,0.49083337,0.06642415
2,0.11941665,0.2943131,0.2880215,0.6791667,0.09619649
3,0.10575002,0.52491474,0.3001555,0.8533333,0.14345455
4,0.0970694,0.72740436,0.3033602,0.9325,0.179369
5,0.087218754,0.8828384,0.30434477,0.9662499,0.21415845
6,0.075508304,0.96462554,0.30463225,0.9791667,0.24616526
