,precision,recall,mean_reciprocal_rank,hit_rate,ndcg
0,0.21416667,0.038575906,0.21416667,0.21416667,0.050554287
1,0.22783327,0.20899178,0.38479173,0.69624996,0.0638854
2,0.22191666,0.40502977,0.40975448,0.8816666,0.09094366
3,0.2097083,0.75454205,0.41666415,0.975,0.14207421
4,0.17143056,0.9354142,0.41742027,0.9933332,0.18344784
5,0.13565625,0.9959722,0.41753256,0.99708325,0.22389372
6,0.10860828,0.9974998,0.41754228,0.9974998,0.26114938
